Date,Open,Close,High,Low,Volume,成交额,振幅,涨跌幅,涨跌额,换手率
2021-01-04,5.28,5.334,5.366,5.26,5067056,2697192784.0,2.0,0.89,0.047,0.59
2021-01-05,5.321,5.433,5.445,5.305,6228308,3349890560.0,2.62,1.86,0.099,0.73
2021-01-06,5.447,5.482,5.514,5.417,3749451,2048972320.0,1.79,0.9,0.049,0.44
2021-01-07,5.49,5.599,5.6,5.483,4706592,2604546544.0,2.13,2.13,0.117,0.55
2021-01-08,5.608,5.571,5.631,5.519,6975648,3884322784.0,2.0,-0.5,-0.028,0.82
2021-01-11,5.572,5.508,5.62,5.477,6359652,3536919280.0,2.57,-1.13,-0.063,0.75
2021-01-12,5.496,5.668,5.672,5.492,5962808,3327362000.0,3.27,2.9,0.16,0.7
2021-01-13,5.684,5.646,5.715,5.61,5524344,3129878576.0,1.85,-0.39,-0.022,0.65
2021-01-14,5.646,5.543,5.646,5.538,6960480,3885747952.0,1.91,-1.82,-0.103,0.82
2021-01-15,5.543,5.526,5.576,5.46,7090492,3916989376.0,2.09,-0.31,-0.017,0.83
2021-01-18,5.451,5.513,5.547,5.415,3967686,2176480896.0,2.39,-0.24,-0.013,0.47
2021-01-19,5.518,5.438,5.53,5.416,4170097,2282323328.0,2.07,-1.36,-0.075,0.49
2021-01-20,5.436,5.468,5.495,5.43,4223857,2307751584.0,1.2,0.55,0.03,0.5
2021-01-21,5.483,5.562,5.588,5.483,5116203,2833318064.0,1.92,1.72,0.094,0.6
2021-01-22,5.557,5.565,5.57,5.506,5543093,3074483616.0,1.15,0.05,0.003,0.65
2021-01-25,5.564,5.631,5.649,5.531,4501772,2518875360.0,2.12,1.19,0.066,0.53
2021-01-26,5.607,5.511,5.61,5.503,3927450,2175771664.0,1.9,-2.13,-0.12,0.46
2021-01-27,5.505,5.521,5.532,5.45,5915416,3252544448.0,1.49,0.18,0.01,0.69
2021-01-28,5.46,5.385,5.46,5.364,4699518,2541914768.0,1.74,-2.46,-0.136,0.55
2021-01-29,5.407,5.348,5.423,5.282,6221139,3343269152.0,2.62,-0.69,-0.037,0.73
2021-02-01,5.348,5.411,5.414,5.346,4362881,2352426032.0,1.27,1.18,0.063,0.51
2021-02-02,5.42,5.491,5.494,5.411,5731569,3133181952.0,1.53,1.48,0.08,0.67
2021-02-03,5.491,5.485,5.525,5.464,2819695,1549207312.0,1.11,-0.11,-0.006,0.33
2021-02-04,5.46,5.474,5.51,5.416,3000841,1639395456.0,1.71,-0.2,-0.011,0.35
2021-02-05,5.486,5.482,5.547,5.476,5600005,3085296672.0,1.3,0.15,0.008,0.66
2021-02-08,5.52,5.554,5.573,5.482,4750134,2628084272.0,1.66,1.31,0.072,0.56
2021-02-09,5.575,5.692,5.694,5.55,4182998,2349537936.0,2.59,2.48,0.138,0.49
2021-02-10,5.706,5.807,5.833,5.697,3419099,1973984352.0,2.39,2.02,0.115,0.4
2021-02-18,5.923,5.764,5.933,5.748,4707657,2747359952.0,3.19,-0.74,-0.043,0.55
2021-02-19,5.742,5.796,5.801,5.671,7090647,4060011760.0,2.26,0.56,0.032,0.83
2021-02-22,5.785,5.589,5.786,5.584,7760760,4399449088.0,3.49,-3.57,-0.207,0.91
2021-02-23,5.55,5.574,5.637,5.547,5912504,3308715200.0,1.61,-0.27,-0.015,0.69
2021-02-24,5.588,5.427,5.6,5.371,10112690,5539235584.0,4.11,-2.64,-0.147,1.19
2021-02-25,5.481,5.478,5.523,5.442,6693054,3670095568.0,1.49,0.94,0.051,0.79
2021-02-26,5.389,5.329,5.42,5.321,8370703,4486159616.0,1.81,-2.72,-0.149,0.98
2021-03-01,5.381,5.418,5.42,5.348,5582085,3007992816.0,1.35,1.67,0.089,0.66
2021-03-02,5.446,5.349,5.451,5.307,4338598,2338148832.0,2.66,-1.27,-0.069,0.51
2021-03-03,5.333,5.454,5.458,5.316,3611546,1950248208.0,2.65,1.96,0.105,0.42
2021-03-04,5.4,5.287,5.4,5.258,6449816,3428246544.0,2.6,-3.06,-0.167,0.76
2021-03-05,5.202,5.266,5.311,5.179,5936328,3111411984.0,2.5,-0.4,-0.021,0.7
2021-03-08,5.3,5.08,5.325,5.07,5637220,2929014224.0,4.84,-3.53,-0.186,0.66
2021-03-09,5.077,4.979,5.095,4.926,9317191,4677125888.0,3.33,-1.99,-0.101,1.09
2021-03-10,5.037,5.0,5.061,4.983,6365358,3197285824.0,1.57,0.42,0.021,0.75
2021-03-11,5.024,5.129,5.132,5.015,6206769,3161968864.0,2.34,2.58,0.129,0.73
2021-03-12,5.145,5.142,5.152,5.08,4482015,2295113616.0,1.4,0.25,0.013,0.53
2021-03-15,5.118,5.04,5.119,4.993,3865724,1952657088.0,2.45,-1.98,-0.102,0.45
2021-03-16,5.042,5.073,5.086,5.012,3232361,1635219632.0,1.47,0.65,0.033,0.38
2021-03-17,5.059,5.096,5.121,5.013,3062946,1554332784.0,2.13,0.45,0.023,0.36
2021-03-18,5.108,5.136,5.159,5.106,3196101,1639545024.0,1.04,0.78,0.04,0.38
2021-03-19,5.072,4.997,5.088,4.983,4921956,2478004768.0,2.04,-2.71,-0.139,0.58
2021-03-22,4.995,5.054,5.072,4.99,4234868,2132916080.0,1.64,1.14,0.057,0.5
2021-03-23,5.049,5.009,5.058,4.967,4916388,2459560320.0,1.8,-0.89,-0.045,0.58
2021-03-24,4.988,4.933,5.03,4.912,7550529,3741109712.0,2.36,-1.52,-0.076,0.89
2021-03-25,4.906,4.929,4.951,4.888,2849087,1402397536.0,1.28,-0.08,-0.004,0.33
2021-03-26,4.95,5.033,5.056,4.946,5565349,2790146480.0,2.23,2.11,0.104,0.65
2021-03-29,5.045,5.043,5.08,5.005,6392568,3229920080.0,1.49,0.2,0.01,0.75
2021-03-30,5.04,5.087,5.104,5.03,2682839,1361536032.0,1.47,0.87,0.044,0.31
2021-03-31,5.083,5.05,5.084,5.013,2308127,1163103568.0,1.4,-0.73,-0.037,0.27
2021-04-01,5.056,5.112,5.12,5.052,3229964,1641836112.0,1.35,1.23,0.062,0.38
2021-04-02,5.13,5.161,5.166,5.109,2803346,1440678160.0,1.12,0.96,0.049,0.33
2021-04-06,5.173,5.133,5.177,5.12,2346355,1206265184.0,1.1,-0.54,-0.028,0.28
2021-04-07,5.138,5.098,5.14,5.067,1752173,891976448.0,1.42,-0.68,-0.035,0.21
2021-04-08,5.081,5.109,5.13,5.057,1407559,718026032.0,1.43,0.22,0.011,0.17
2021-04-09,5.095,5.038,5.095,5.025,2223298,1122455296.0,1.37,-1.39,-0.071,0.26
2021-04-12,5.026,4.954,5.049,4.937,6639382,3300299232.0,2.22,-1.67,-0.084,0.78
2021-04-13,4.946,4.947,4.994,4.929,4535452,2247446208.0,1.31,-0.14,-0.007,0.53
2021-04-14,4.952,4.975,4.989,4.943,5271842,2620909280.0,0.93,0.57,0.028,0.62
2021-04-15,4.96,4.947,4.965,4.894,4935407,2431754048.0,1.43,-0.56,-0.028,0.58
2021-04-16,4.959,4.963,4.975,4.918,4998940,2476638368.0,1.15,0.32,0.016,0.59
2021-04-19,4.959,5.089,5.097,4.936,5673692,2864077168.0,3.24,2.54,0.126,0.67
2021-04-20,5.071,5.081,5.116,5.062,3698516,1882537200.0,1.06,-0.16,-0.008,0.43
2021-04-21,5.049,5.093,5.108,5.047,4143214,2104768800.0,1.2,0.24,0.012,0.49
2021-04-22,5.101,5.089,5.118,5.065,4483992,2279984128.0,1.04,-0.08,-0.004,0.53
2021-04-23,5.081,5.14,5.15,5.081,3229926,1656258288.0,1.36,1.0,0.051,0.38
2021-04-26,5.151,5.076,5.191,5.071,5380616,2762169536.0,2.33,-1.25,-0.064,0.63
2021-04-27,5.08,5.089,5.098,5.053,3177926,1612968576.0,0.89,0.26,0.013,0.37
2021-04-28,5.071,5.127,5.13,5.056,3012460,1535175280.0,1.45,0.75,0.038,0.35
2021-04-29,5.128,5.173,5.18,5.12,3809845,1964024096.0,1.17,0.9,0.046,0.45
2021-04-30,5.161,5.128,5.172,5.094,4042413,2075946592.0,1.51,-0.87,-0.045,0.47
2021-05-06,5.109,5.061,5.142,5.035,4075746,2073197360.0,2.09,-1.31,-0.067,0.48
2021-05-07,5.073,5.0,5.097,4.996,3382892,1705351376.0,2.0,-1.21,-0.061,0.4
2021-05-10,5.004,4.999,5.025,4.955,3691992,1843018240.0,1.4,-0.02,-0.001,0.43
2021-05-11,4.967,5.025,5.044,4.932,3979265,1985720800.0,2.24,0.52,0.026,0.47
2021-05-12,5.014,5.056,5.063,4.996,2539712,1277881520.0,1.33,0.62,0.031,0.3
2021-05-13,5.016,5.001,5.027,4.976,4725439,2363024816.0,1.01,-1.09,-0.055,0.55
2021-05-14,5.02,5.127,5.129,4.992,8489630,4316323584.0,2.74,2.52,0.126,1.0
2021-05-17,5.123,5.188,5.215,5.117,6672555,3464215776.0,1.91,1.19,0.061,0.78
2021-05-18,5.199,5.19,5.212,5.167,2834588,1469848176.0,0.87,0.04,0.002,0.33
2021-05-19,5.18,5.176,5.196,5.153,3933595,2034732848.0,0.83,-0.27,-0.014,0.46
2021-05-20,5.172,5.19,5.206,5.152,2701391,1400149088.0,1.04,0.27,0.014,0.32
2021-05-21,5.197,5.135,5.227,5.123,5410635,2791300048.0,2.0,-1.06,-0.055,0.64
2021-05-24,5.135,5.163,5.164,5.096,3496128,1796637072.0,1.32,0.55,0.028,0.41
2021-05-25,5.163,5.327,5.338,5.163,15361601,8133780736.0,3.39,3.18,0.164,1.8
2021-05-26,5.331,5.328,5.353,5.316,4868611,2596720928.0,0.69,0.02,0.001,0.57
2021-05-27,5.32,5.347,5.394,5.296,5307535,2835202992.0,1.84,0.36,0.019,0.62
2021-05-28,5.346,5.332,5.373,5.3,3456219,1843452032.0,1.37,-0.28,-0.015,0.41
2021-05-31,5.329,5.338,5.339,5.29,3286030,1745986736.0,0.92,0.11,0.006,0.39
2021-06-01,5.333,5.346,5.35,5.271,4544228,2415673328.0,1.48,0.15,0.008,0.53
2021-06-02,5.351,5.303,5.357,5.276,5776071,3069526944.0,1.52,-0.8,-0.043,0.68
2021-06-03,5.3,5.262,5.323,5.26,4432764,2344157008.0,1.19,-0.77,-0.041,0.52
2021-06-04,5.25,5.295,5.352,5.233,5581178,2951205184.0,2.26,0.63,0.033,0.66
2021-06-07,5.295,5.289,5.298,5.251,2652774,1399803056.0,0.89,-0.11,-0.006,0.31
2021-06-08,5.289,5.247,5.34,5.213,4542037,2392039776.0,2.4,-0.79,-0.042,0.53
2021-06-09,5.233,5.255,5.266,5.231,2595132,1362104032.0,0.67,0.15,0.008,0.3
2021-06-10,5.249,5.289,5.324,5.248,4041126,2139819984.0,1.45,0.65,0.034,0.47
2021-06-11,5.293,5.24,5.307,5.236,3375558,1774141744.0,1.34,-0.93,-0.049,0.4
2021-06-15,5.24,5.181,5.25,5.154,4312366,2237735904.0,1.83,-1.13,-0.059,0.51
2021-06-16,5.175,5.11,5.183,5.094,5573017,2861614496.0,1.72,-1.37,-0.071,0.65
2021-06-17,5.1,5.121,5.144,5.097,3422104,1752532816.0,0.92,0.22,0.011,0.4
2021-06-18,5.12,5.126,5.155,5.089,5237657,2681620832.0,1.29,0.1,0.005,0.61
2021-06-21,5.108,5.119,5.155,5.087,4492631,2297972208.0,1.33,-0.14,-0.007,0.53
2021-06-22,5.14,5.145,5.151,5.111,6783142,3481237664.0,0.78,0.51,0.026,0.8
2021-06-23,5.152,5.176,5.203,5.136,5864652,3034353440.0,1.3,0.6,0.031,0.69
2021-06-24,5.18,5.189,5.19,5.155,2175097,1125515424.0,0.68,0.25,0.013,0.26
2021-06-25,5.193,5.27,5.289,5.191,6192587,3253306016.0,1.89,1.56,0.081,0.73
2021-06-28,5.278,5.279,5.29,5.257,4454965,2349760656.0,0.63,0.17,0.009,0.52
